country,city name,tour_title,tour_duration,tour_price,tour_reg_price,price_currency,discount,availability,rating,pageview_text
Korea,Seoul,Unlimited 4G/LTE Sim Card: Data Only (1/5/10/30 day) - Pick up from Seoul/Busan,,5900,6600,KRW,14% OFF & Everland Combo Option,,4.75,131.5k
Korea,Seoul,Korea Portable Wifi (T mifi) Rental (Pick up from Seoul/Busan/Jeju),,3300,4400,KRW,,,4.57,91.7k
Korea,Seoul,Everland Discount Ticket & Shuttle Bus Package (Evening/Night Bus),,41000,66000,KRW,38% OFF,,4.60,74.6k
Korea,Seoul,Prepaid 4G/LTE Sim Card: Unlimited Data+Voice call+SMS (5/7/10/15/30 days) - Pick up from Incheon Airport,,24500,29900,KRW,18% OFF & Everland Combo Option,,4.36,59.2k
Korea,Seoul,Nami Island and Petite France in 1 Day,,37900,0,KRW,,,4.62,49.9k
Korea,Seoul,Seoul Luggage Storage Service,,5000,0,KRW,,,4.76,49.8k
Korea,Seoul,1 Day Ski/Snowboard/Snow Sled/Gondola Tour: Vivaldi Park Ski Resort,,70500,0,KRW,,,4.55,48.9k
Korea,Seoul,Seoul Vicinity: Nami Island + Petite France + Garden of Morning Calm Day Tour,,63800,0,KRW,,,4.69,43.2k
Korea,Seoul,Prepaid 4G/LTE Sim Card: Data+Voice call+SMS (30 days or more) - Pick up from Seoul,,23000,30000,KRW,23% OFF & Up to Extra 6% OFF for Aug~Sep Pick-up,,4.49,42.9k
Korea,Seoul,Seoul Vicinity: Nami Island and Garden of Morning Calm,,49900,0,KRW,,,4.66,41.7k
Korea,Seoul,Han River E-land Ferry Cruise (Day & Night) - from Yeouido/Jamsil,,13200,15000,KRW,12% OFF,,4.23,40.6k
Korea,Seoul,SBS MTV The Show Package,,90000,92000,KRW,32% OFF,,4.67,39.8k
Korea,Seoul,Lotte World Discount Ticket (+ Magic Pass Premium options),,31500,57000,KRW,45% OFF,,4.54,38.5k
Korea,Seoul,Everland Discount Ticket - One Day Pass (+ Half-day Afternoon Pass Option),,31000,54000,KRW,43% OFF,,4.71,38.5k
Korea,Seoul,Korail Pass (KR Pass): Cheap way to ride KTX & Trains,,121000,0,KRW,,,4.85,38.4k
Korea,Seoul,Seoraksan National Park Hiking Tour (Private/Join-in),,77000,141100,KRW,Autumn Early Bird: 45% OFF (~Sep 14),,4.86,33.7k
Korea,Seoul,Korea Autumn/Fall Foliage 1 Day Tour to Mountains & National Parks - from Seoul (Oct 10~Nov 15),,42300,0,KRW,,,4.61,33.4k
Korea,Seoul,Nami Island Shuttle Bus + Ticket Package,,28000,0,KRW,,,4.53,28.7k
Korea,Seoul,Trick Eye & Love Museum Seoul Discount Ticket,,12000,15000,KRW,23% OFF & Everland Combo Option,,4.53,27.1k
Korea,Seoul,Everland Round-trip Shuttle Bus (Seoul/Suwon ↔ Everland),,13080,0,KRW,,,4.54,26.6k
Korea,Seoul,Incheon/Gimpo Airport ↔ Seoul Transfer - Airport Taxi (24/7),,52900,0,KRW,,,4.70,26k
Korea,Seoul,1 Day Ski/Snowboard Lesson/Snow Sled/Free Time Tour: Elysian Gangchon Ski Resort,,62300,0,KRW,,,4.54,23.8k
Korea,Seoul,Caribbean Bay Water Park Discount Ticket,,29400,50000,KRW,50% OFF,,4.52,23.6k
Korea,Seoul,DMZ and JSA 1 Day Tour,,140000,0,KRW,,,4.86,22.4k
Korea,Seoul,Seoul Vicinity: Nami Island + Gangchon Rail Bike + Garden of Morning Calm Day Tour,,62000,0,KRW,,,4.61,22.4k
Korea,Seoul,Seoul K-drama Shooting Spots: 1 Day Small Group City Tour,,65000,0,KRW,Everland Combo Option,,4.88,22.3k
Korea,Seoul,Nami Island & Elysian Gangchon Ski Resort 1 Day Package,,71700,0,KRW,,,4.67,21.9k
Korea,Seoul,Everland Full Day Package,,51800,0,KRW,,,4.61,21.4k
Korea,Seoul,Coex Aquarium Discount Ticket,,21100,28000,KRW,25% OFF,,4.48,20.7k
Korea,Seoul,Seoul Vicinity: Nami Island + Gangchon Rail Bike + Petite France Day Tour,,61000,0,KRW,,,4.62,20.5k
Korea,Seoul,Make Your Own Custom Ring in Hongdae,,25000,40000,KRW,40% OFF,,4.56,19.8k
Korea,Seoul,BTS (Bangtan Boys) Tour with the Best Fan ARMY in Seoul,,28000,0,KRW,,,5.00,18.1k
Korea,Seoul,Seoraksan National Park & Nami Island 1 Day Tour,,73000,0,KRW,,,4.83,18.1k
Korea,Seoul,N Seoul Tower Observatory Ticket,,7400,10000,KRW,CRAZY SALE 20% OFF: Photo Pkg (~Jul),,4.38,17.7k
Korea,Seoul,Dragon Hill Spa Seoul Ticket (Jjimjilbang),,10000,12000,KRW,25% OFF,,4.24,17.7k
Korea,Seoul,SBS Super Concert in Incheon with SBS Inkigayo Package (Oct 6),,150000,0,KRW,Trazy Exclusive,,4.00,17.4k
Korea,Seoul,Everland Discount Ticket & 1 Q-Pass (Express Pass) Package (+Shuttle Bus option),,41500,66000,KRW,37% OFF + 1 Q-Pass,,4.61,17.3k
Korea,Seoul,Cookin' NANTA Show Seoul Discount Ticket,,30500,44000,KRW,30% OFF,,4.78,17.3k
Korea,Seoul,Daily Hanbok Rental in Seoul,,30000,0,KRW,,,4.86,17.3k
Korea,Seoul,DMZ Tour - Experience One of the Deepest Tragedies in Korean History,,46000,0,KRW,,,4.26,17.3k
Korea,Seoul,Seoul to Jeju Island Flight + Hotel (Airtel) Package,,272000,0,KRW,,,5.00,17.3k
Korea,Seoul,Seoul Vicinity Tour 4 in 1: Nami Island + Petite France + Rail Park + Garden of Morning Calm,,97700,0,KRW,,,4.74,17.2k
Korea,Seoul,Lotte World 1 Day Pass + Lotte World Aquarium Combo Discount Ticket (+ Magic Pass Premium options),,41500,73000,KRW,43% OFF,,4.45,17.2k
Korea,Seoul,Seoul City Tour Bus Ticket,,15000,18000,KRW,17% OFF,,3.94,16.8k
Korea,Seoul,Club Octagon Promotion Package,,30000,0,KRW,44% OFF,,4.29,14.6k
Korea,Seoul,"SMTOWN Surround Viewing Concert - EXO, SHINee, TVXQ!, SUPER JUNIOR, GIRLS' GENERATION, f(x), Red Velvet, NCT 127",,8000,0,KRW,,,4.86,14.5k
Korea,Seoul,MBC World: Hallyu (K-wave) Theme Park,,15000,0,KRW,,,4.00,13.7k
Korea,Seoul,Everland Discount Ticket & Private Van Transfer Package,,82400,0,KRW,43% OFF,,4.55,13.5k
Korea,Seoul,Whoo Spa (formerly O HUI Spa) Beauty Care Package,,100000,0,KRW,,,4.59,13.3k
Korea,Seoul,Seoul Land 1 Day Pass (+ Seoul Zoo / Sky Lift option),,18000,44000,KRW,60%  OFF,,4.46,13.2k
Korea,Seoul,Seoul Luggage Delivery Service (Select Hotels/Stations in Seoul ↔ Airport),,10000,0,KRW,Apr~Sep Promotion (~Sep),,4.46,13.1k
Korea,Seoul,Seoraksan National Park & Naksansa Temple 1 Day Tour,,74720,0,KRW,,,4.47,13.1k
Korea,Seoul,Han River Ferry Buffet Cruise,,55000,0,KRW,,,4.65,12.9k
Korea,Seoul,1 Day Ski/Snowboard/Snow Sled/Free Time Tour: Jisan Ski Resort,,76400,0,KRW,,,4.64,12.9k
Korea,Seoul,Seoul Vicinity: Nami Island + Garden of Morning Calm + Strawberry Picking,,70500,0,KRW,,,4.85,12.8k
Korea,Seoul,Seoul to Busan 2D1N Free & Easy Tour Package,,165400,0,KRW,Arriving soon,,0.00,12.6k
Korea,Seoul,1 Day Ski/Snowboard Tour: Oak Valley Ski Resort,,73000,78000,KRW,Early Bird 6% OFF (~Oct 1),,4.65,12.6k
Korea,Seoul,Make Your Own Stamp in Insadong,,19950,21000,KRW,Seoul Welcome Week: 5% OFF (Sep 27~Oct 6),,4.90,12.5k
Korea,Seoul,Unlimited 4G/LTE Sim Card: Data Only (3/7 day) - Pick up from Seoul,,14500,18200,KRW,20% OFF,,4.70,12.3k
Korea,Seoul,2D1N Ski/Snowboard Tour: Vivaldi Park Ski Resort,,171100,0,KRW,,,4.50,11.9k
Korea,Seoul,1 Day Ski & Snow Sled Tour: Alpensia Ski Resort,,64700,0,KRW,,,4.41,11.8k
Korea,Seoul,Seoul Hair Salon in Hongdae (Hair & Joy),,25000,0,KRW,,,4.65,11.7k
Korea,Seoul,Paragliding Near Seoul – Tandem Paragliding in Yangpyeong,,141100,0,KRW,,,4.89,11.5k
Korea,Seoul,SMTOWN Museum Ticket,,10000,18000,KRW,45% OFF Every Last Wed,,4.54,11.4k
Korea,Seoul,Jade Garden + Alpaca World 1 Day Tour,,64000,0,KRW,,,3.90,11.3k
Korea,Seoul,Seoul Vicinity: Nami Island + Petite France + Strawberry Farm Package,,70500,0,KRW,,,4.39,10.9k
Korea,Seoul,Make Your Own Perfume in Seoul,,50000,0,KRW,,,4.76,10.9k
Korea,Seoul,2019 Jinju Lantern Festival: Overnight Shuttle Bus Package (Oct 3~12) - from Seoul,,78000,0,KRW,,,4.47,10.8k
Korea,Seoul,East Sea & Gangneung 1 Day Tour,,69000,0,KRW,,,4.29,10.7k
Korea,Seoul,Seoul Vicinity: Gapyeong One Day Private Van Tour,,319000,0,KRW,,,4.71,10.6k
Korea,Seoul,Seoraksan National Park Private Tour (+ Nami Island / Naksansa Temple / Daegwallyeong Sheep Farm / Sokcho Tourist & Fishery Market),,400000,0,KRW,,,4.89,10.6k
Korea,Seoul,Traditional Korean Hanbok Experience at Goguan Studio,,17100,20000,KRW,Seoul Welcome Week: Extra 5% OFF (Sep 27~Oct 6),,4.56,10.4k
Korea,Seoul,Seoul Vicinity: Pocheon Art Valley + Pocheon Herb Island + Strawberry Farm 1 Day Afternoon Tour (Dec~May),,47000,0,KRW,,,4.50,10.4k
Korea,Seoul,DMZ Shuttle Bus & Ticket Package,,37500,0,KRW,,,3.75,10.3k
Korea,Seoul,Seoul Vicinity Tour 4 in 1: Nami Island + Petite France + Garden of Morning Calm + Strawberry Picking,,94100,0,KRW,,,5.00,10.1k
Korea,Seoul,2020 Coex New Year’s Countdown + Gyeongpodae Overnight Sunrise Tour - from Seoul (Dec 31),,56400,0,KRW,,,5.00,10.1k
Korea,Seoul,Personalized K-pop Training Program (4/10 week program),,500000,0,KRW,,,4.00,10k
Korea,Seoul,Korean Palace Tour,,33000,0,KRW,,,4.14,10k
Korea,Seoul,Seoul by Foot: Namsan Park & N Seoul Tower Evening Hiking Tour,,27200,32000,KRW,Seoul Welcome Week: 15% OFF (Sep 27~Oct 6),,4.70,10k
Korea,Seoul,K-POP Dance Lesson: How to Dance Like K-POP Stars,,50000,0,KRW,,,5.00,9.9k
Korea,Seoul,SMTOWN Hologram Musical: School OZ The Original,,22000,0,KRW,,,4.53,9.9k
Korea,Seoul,K-Shuttle Bus Tour- All around Korea (5D4N),,796300,0,KRW,,,4.25,9.9k
Korea,Seoul,Seoul by Foot: Secret Garden & Bukchon Hanok Village Walking Tour,,42750,45000,KRW,Seoul Welcome Week: 5% OFF (Sep 27~Oct 6),,4.75,9.9k
Korea,Seoul,Jisan Forest Ski Resort + Everland 1 Day Tour,,88200,0,KRW,,,4.80,9.8k
Korea,Seoul,"Korea Autumn/Fall Foliage 1 Day Tour (Seoul ↔ Vicinities, Oct 21~31)",,47000,0,KRW,,,3.50,9.8k
Korea,Seoul,Kimchi Making & Tteokbokki Cooking Class in Myeongdong,,31500,35000,KRW,Seoul Welcome Week: 10% OFF (Sep 27~Oct 6),,4.33,9.7k
Korea,Seoul,Jeonju Hanok Village 1 Day Join-in Tour (+ Korean Dessert Making Class / Korean Cuisine Cooking Class options),,35200,0,KRW,,,4.83,9.7k
Korea,Seoul,Professional Makeup Service by Korean Celebrities’ Makeup Artists + Basic Hair Styling,,232900,0,KRW,,,4.00,9.6k
Korea,Seoul,Templestay Korea: Geumsunsa (Mountain Temple in Seoul),,30000,0,KRW,,,4.50,9.6k
Korea,Seoul,Seoul Vicinity: Nami Island + Petite France + Vivaldi Park Ski Resort,,61100,0,KRW,,,5.00,9.6k
Korea,Seoul,Travel Lazy: Jeonju Hanok Village Shuttle Bus Package (Fri/Sat/Sun),,23000,0,KRW,,,4.43,9.6k
Korea,Seoul,Korean Pre-wedding Photoshoot Package,,750000,0,KRW,,,4.00,9.5k
Korea,Seoul,SPA 1899: Korean Red Ginseng Spa Treatments,,121000,0,KRW,,,5.00,9.5k
Korea,Seoul,Room Escape Game in Hongdae,,18800,23000,KRW,,,4.88,9.4k
Korea,Seoul,K-Beauty: Korean Dermatology V-Line Treatment,,207000,0,KRW,Trazy Exclusive,,4.50,9.4k
Korea,Seoul,1 Day Ski/Snowboard/Free Time Tour: Bears Town Ski Resort,,80000,0,KRW,,,4.51,9.2k
Korea,Seoul,Get Your Hair Done Like a Korean Actress at Jenny House Beauty Salon,,582300,0,KRW,,,0.00,9.2k
Korea,Seoul,Woongjin Playdoci Water Park Discount Ticket,,20000,50000,KRW,60% OFF,,4.72,9.2k
Korea,Seoul,2D1N Ski/Snowboard Tour: Yongpyong Ski Resort,,198800,0,KRW,,,4.71,9.1k
